caseID,studyID,system,lat,organism,duration,dist.cat,open,species,resp.cat,sum.con,AUC.RR,AUC.pi,con.pi,mean.delta.pi,mean.RR
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Tardigrada,abundance,386.7579908675792,-0.0029897985984717046,0.0060471227429530865,0.03568224407338405,-0.006516390691329182,-0.11537011275498275
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Ostracoda,abundance,2783.5616438356137,-0.14733467089490376,0.048094817845125926,0.2366020700441747,0.01830096168467262,-0.14342365606226293
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Turbellaria,abundance,531.9634703196338,-0.20969981484326766,-4.0153159054873286e-4,0.04576208518447593,-6.333994330504101e-4,-0.15669048956128553
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Tanaidacea,abundance,92.72727272727255,-0.30541827376909836,-0.0024354536597751097,0.007033236271831696,-0.0010200641061582163,-0.06805674086033926
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Nematoda,abundance,2200.9132419999996,-0.22151279701300974,-0.006636504468191265,0.19211198574351043,0.00812495145912464,-0.13853351458872293
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Harpacticoida,abundance,2580.821917808217,-0.26484179389923185,-0.030332926928370696,0.22300724786509776,-0.027581962989877067,-0.20414931670313288
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Polychaeta,abundance,535.3881278538801,-0.2823169101602574,-0.004705675303639298,0.045306121167194235,-0.0037094576160040817,-0.20751766592968307
CK002_1,CK002,marine,-8.3026,meiofauna,90,phys,yes,Nauplii,abundance,2507.272727272726,-0.2442334879759972,-0.009629848637553954,0.21449500965033125,0.013035361692621615,-0.13786690573813964
CK002_2,CK002,marine,-8.3026,meiofauna,90,phys,yes,Tanaidacea,abundance,92.72727272727255,-0.5635034166613113,-0.004333114771509652,0.007033236271831696,-0.004046996476308717,-0.4520570657412762
CK002_2,CK002,marine,-8.3026,meiofauna,90,phys,yes,Harpacticoida,abundance,2580.821917808217,-0.277966350180164,-3.8178016837706324e-4,0.22300724786509776,7.972911453092146e-4,-0.2419256128814757
CK002_2,CK002,marine,-8.3026,meiofauna,90,phys,yes,Nematoda,abundance,2200.9132419999996,-0.3560769256022739,-0.03221206041639234,0.19211198574351043,-0.030053479643271208,-0.31352042031578886
CK002_2,CK002,marine,-8.3026,meiofauna,90,phys,yes,Ostracoda,abundance,2783.5616438356137,-0.29021218939986926,-0.009206268944003608,0.2366020700441747,-0.005111133934674477,-0.2480156353237354
CK002_2,CK002,marine,-8.3026,meiofauna,90,phys,yes,Nauplii,abundance,2507.272727272726,-0.24149992272880094,0.025604995193476577,0.21449500965033125,0.04339842026908543,-0.17102868725370562
