"","caseID","studyID","organism","system","duration","dist.cat","open","resp.cat","OEV","Deltabm.Tot","species","AUC.RR","AUC.pi"
"1","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Tanaidacea",-0.305418273769098,-0.00243545365977511
"2","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Tardigrada",-0.0029897985984717,0.00604712274295309
"3","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Turbellaria",-0.209699814843268,-0.000401531590548732
"4","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Harpacticoida",-0.264841793899232,-0.0303329269283707
"5","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Nematoda",-0.22151279701301,-0.00663650446819126
"6","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Polychaeta",-0.282316910160257,-0.0047056753036393
"7","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Ostracoda",-0.147334670894904,0.0480948178451259
"8","CK002_1","CK002","meiofauna","marine",90,"phys","yes","abundance",0.205212063255724,0.133842393689231,"Nauplii",-0.244233487975997,-0.00962984863755395
"9","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Tanaidacea",-0.563503416661311,-0.00433311477150965
"10","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Tardigrada",0.0656227619760357,0.0137341740359621
"11","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Turbellaria",-0.112529200900763,0.0235085857353861
"12","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Harpacticoida",-0.277966350180164,-0.000381780168377064
"13","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Nematoda",-0.356076925602274,-0.0322120604163923
"14","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Polychaeta",-0.474630083698025,-0.0167145306645421
"15","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Ostracoda",-0.290212189399869,-0.00920626894400362
"16","CK002_2","CK002","meiofauna","marine",90,"phys","yes","abundance",0.275090386904052,0.133842393689231,"Nauplii",-0.241499922728801,0.0256049951934766
"17","CK006_1","CK006","plant","terrestrial",5110,"phys","yes","biomass",0.104458388118421,0.133842393689231,"Vaccinium myrtillus",-0.0513186789905784,0.0205901581976421
"18","CK006_1","CK006","plant","terrestrial",5110,"phys","yes","biomass",0.104458388118421,0.133842393689231,"Vaccinium vitis idaea",-0.0849676122075704,-0.00463641077043555
